case,magnitude of risk,number of samples,sample%
Niu-N,high risk,3108,0.0046714011949047455
Niu-N,moderate risk,489291,0.7354165257580881
Niu-RdRp,high risk,367589,0.5524953969864352
Niu-RdRp,moderate risk,1409,0.0021177619960169843
Niu-ORF1ab,high risk,822,0.0012354864164130313
Niu-ORF1ab,moderate risk,3876,0.005825724270093563
Niu-E,high risk,948,0.0014248675459361967
Niu-E,moderate risk,1995,0.0029985345507834516
Won-RdRp-1,high risk,1810,0.0027204749558486455
Won-RdRp-1,moderate risk,365101,0.5487558711907714
Won-RdRp-3,moderate risk,27844,0.04185022357494458
Won-RdRp-3,high risk,2793,0.004197948371096832
Won-RdRp-2,moderate risk,13187,0.01982038853192049
Won-RdRp-2,high risk,260,0.00039078645774621426
Won-N-2,high risk,415,0.0006237553075564573
Won-N-2,moderate risk,11866,0.017834892721602224
Won-E-2,moderate risk,9694,0.01457032277458385
Won-E-2,high risk,305,0.00045842257543305905
Won-E-1,high risk,78,0.00011723593732386428
Won-E-1,moderate risk,9635,0.014481644309172209
Won-N-1,high risk,2032,0.003054146469770413
Won-N-1,moderate risk,6477,0.009735091872393192
Won-S-1,moderate risk,3543,0.005325216999210912
Won-S-1,high risk,651,0.000978469169203021
Won-S-2,moderate risk,2123,0.003190921729981588
Won-S-2,high risk,960,0.0014429038439860218
Davi-S-2,moderate risk,170742,0.2566294668019389
Davi-S-2,high risk,2858,0.004295644985533386
Davi-S-1,high risk,1004,0.0015090369368353812
Davi-S-1,moderate risk,155521,0.23375192575057302
Davi-ORF1a-4,moderate risk,63693,0.09573216097396009
Davi-ORF1a-4,high risk,6759,0.010158944876564085
Davi-ORF1b-1,high risk,6997,0.01051666478788562
Davi-ORF1b-1,moderate risk,5798,0.008714538007740578
Davi-ORF1a-1,moderate risk,6257,0.009404426408146394
Davi-ORF1a-1,high risk,6164,0.009264645098260249
Davi-ORF1b-2,moderate risk,5115,0.007687972043738023
Davi-ORF1b-2,high risk,4587,0.00689437492954571
Davi-ORF1b-3,moderate risk,7882,0.011846841769060234
Davi-ORF1b-3,high risk,1123,0.0016878968924961485
Davi-ORF1a-3,moderate risk,6586,0.009898921579679105
Davi-ORF1a-3,high risk,2283,0.0034314057039792584
Davi-ORF1a-2,moderate risk,3116,0.0046834253936046295
Davi-ORF1a-2,high risk,772,0.0011603351745387593
Corman-RdRp,moderate risk,718,0.0010791718333145455
Corman-RdRp,high risk,366652,0.5510870627137113
Corman-E,moderate risk,9212,0.013845864802915869
Corman-E,high risk,472,0.0007094277232931274
Corman-N,moderate risk,6774,0.010181490249126367
Corman-N,high risk,2515,0.0037801074662758803
Tombuloglu-RdRp,moderate risk,365817,0.549832036974411
Tombuloglu-RdRp,high risk,1438,0.002161349716304062
Tombuloglu-E,high risk,635,0.000954420771803254
Tombuloglu-E,moderate risk,9923,0.014914515462368015
Sarkar-S,high risk,7520,0.011302746777890504
Sarkar-S,moderate risk,355453,0.5342546875587119
Sarkar-E,moderate risk,1473,0.0022139555856160523
Sarkar-E,high risk,8394,0.012616390485852778
Sarkar-RdRp,moderate risk,1367,0.0020546349528425957
Sarkar-RdRp,high risk,1146,0.0017224664637583136
Sarkar-N,moderate risk,934,0.0014038251982114005
Sarkar-N,high risk,188,0.0002825686694472626
Young-S,high risk,122887,0.1847022132040732
Young-S,moderate risk,8509,0.012789238342163604
Young-N,high risk,3967,0.005962499530304738
Young-N,moderate risk,2775,0.004170893924022094
Young-ORF1ab,moderate risk,1900,0.002855747191222335
Young-ORF1ab,high risk,2563,0.0038522526584751815
Lu-N-1,moderate risk,24012,0.03609063239770037
Lu-N-1,high risk,8697,0.013071807011610866
Lu-N-3,moderate risk,14655,0.022026828993349117
Lu-N-3,high risk,2298,0.00345395107654154
Lu-N-2,high risk,8108,0.012186525382331942
Lu-N-2,moderate risk,5176,0.007779656558824634
Chan-S,high risk,5513,0.008286175929057229
Chan-S,moderate risk,18403,0.027660166084244542
Chan-N,moderate risk,5316,0.007990080036072596
Chan-N,high risk,6962,0.010464058918573629
Chan-RdRp,moderate risk,1487,0.0022349979333408485
Chan-RdRp,high risk,2531,0.003804155863675647
IP-RdRp-2,moderate risk,30908,0.046455491676999965
IP-RdRp-2,high risk,1598,0.0024018336903017324
IP-RdRp-1,moderate risk,4985,0.007492578814864916
IP-RdRp-1,high risk,1674,0.0025160635779506255
Chu-N,high risk,943,0.0014173524217487693
Chu-N,moderate risk,18613,0.027975801300116485
Chu-ORF1ab,moderate risk,2723,0.0040927366324728515
Chu-ORF1ab,high risk,2442,0.003670386653139443
Mollaei-E,moderate risk,9703,0.014583849998121219
Mollaei-E,high risk,443,0.0006658400030060496
Mollaei-RdRp,high risk,1478,0.0022214707098034796
Mollaei-RdRp,moderate risk,5053,0.007594784503813926
Mollaei-S,moderate risk,2875,0.004321196407770639
Mollaei-S,high risk,897,0.0013482132792244392
Mollaei-N,high risk,1236,0.0018577386991320032
Mollaei-N,moderate risk,1929,0.0028993349115094126
Mollaei-ORF1ab,moderate risk,702,0.0010551234359147785
Mollaei-ORF1ab,high risk,360,0.0005410889414947582
DMSC-N,high risk,1196,0.0017976177056325856
DMSC-N,moderate risk,12831,0.019285311689775674
Shirato-N,moderate risk,6847,0.010291211062262804
Shirato-N,high risk,2987,0.004489535189569007
Yip-ORF1ab,high risk,528,0.000793597114192312
Yip-ORF1ab,moderate risk,4202,0.006315710367113816
Huang-E,moderate risk,1856,0.0027896140983729757
Huang-E,high risk,838,0.0012595348138127983
